"FOODID","FOODNAME","CALORIES","CARBS","PROTEIN","FAT"
"33736","MUESLI, KELLOGG'S EXTRA CHOCOLATE","483.27","51.8","9.4","25.2"
"33739","MILK, 4.4% FAT, WITHOUT ADDED VITAMIN D, UNHOMOGENIZED","70.75","4.7","3","4.4"
"33740","FRANKFURTER, LIGHT, FRIED WITHOUT FAT","189.05","6.1","13.9","10.8"
"33756","MULTIGRAIN BREAD, OAT BREAD, 100 % OAT, VAASAN","244.98","37.1","9.6","4.4"
"33757","ORANGE JUICE, UNSWEETENED, 60 MG VITAMIN C","46.13","10","0.6","0.1"
"33758","HAM, COOKED, 2% FAT","107.55","0.1","22","2"
"33759","(ARC)MILK DRINK WITH JUICE, FAT-FREE, GEFILUS","49.95","11.1","0.8","0.1"
"33760","YOGHURT, FLAVOURED, 2% FAT, LACTOSE-FREE, A+ CEREAL, 1 UG VITAMIN D","92.26","14.3","2.8","2"
"33766","WATER, BOILED","0","0","0","0"
"33783","MULTIGRAIN BREAD, OAT BREAD, KAURATYYNYT, VAASAN","258.13","39.5","11.9","4.1"
"33790","MILK, 1.5% FAT, LACTOSE-FREE, VALIO EILA, 2 UG ADDED VITAMIN D","39.91","3.1","3.3","1.5"
"33791","MILK, 0% FAT, LACTOSE-FREE, VALIO EILA, 2 UG ADDED VITAMIN D","27.49","3.1","3.3","0.1"
"33792","MILK, 3% FAT, LACTOSE-FREE, EILA, 2 UG ADDED VITAMIN D","52.58","3.1","3.2","3"
"33804","REINDEER AND POTATO CASSEROLE, SAARIOINEN, READY MEAL","138.62","12.9","3.2","8"
"33813","CHICKEN SOUP, INDUSTRIAL, RAINBOW, READY MEAL","63.58","3.6","2.5","4.2"
"33845","SALAMI, LIGHT, 22% FAT","293.02","0.2","23.8","22.1"
"33846","CHEESE PASTY, VAASAN KOTIUUNIN","340.82","31.4","10","19.1"
"33847","DANISH PASTRY, STRAWBERRY AND VANILLA CUSTARD FILLING, VAASAN KOTIUUNIN","365.44","31.7","4.8","24.2"
"33848","BUN, BERRY AND QUARK FILLING, RAINBOW","336.52","60.7","7.5","7.2"
"33849","BERRY KISSEL, 30 MG ADDED VITAMIN C, INDUSTRIAL","44.46","10.5","0.1","0.1"
"33850","BERRY KISSEL, 20 MG ADDED VITAMIN C, INDUSTRIAL","40.63","9.5","0.1","0.1"
"33851","BERRY KISSEL, 40 MG ADDED VITAMIN C, INDUSTRIAL","66.2","15.2","0.2","0.1"
"33852","SOUR MILK, FAT-FREE, VALIO EILA, LACTOSE-FREE, 2 UG VITAMIN D","29.88","3.6","2.9","0.1"
"33853","CHICKEN SALAD, SAARIOINEN","160.37","18.3","6.3","6.6"
"33855","BLUEBERRY PIE, INDUSTRIAL, FAZER","429.73","56.5","4.6","20.1"
"33856","CREAM SAUCE WITH MEAT BOUILLON","137.43","6.8","1.3","11.8"
"33862","SALAD, COLESLAW, INDUSTRIAL","155.83","7.3","1.2","13.3"
"33863","CHOCOLATE SWISS ROLL, RAINBOW","431.88","57.5","4.7","20"
"33866","BUN, CHOCOLATE AND VANILLA FILLING, TIIKERIKRANSSI, VAASAN ISO�IDIN","346.56","54.9","7.4","11.2"
"33867","BUN, RASPBERRY AND APPLE FILLING, PORMESTARINPITKO, VAASAN","309.51","37.2","4.6","16.1"
"33872","BREAST MILK","65.25","7.4","1.1","3.5"
"33882","MARGARINE 80%, FLORA KULTA","710.56","0.3","0.3","80"
"33883","SALAD, TZATZIKI SALAD, ATRIA","110.66","11.2","2.8","6"
"33884","JUICE DRINK, PINEAPPLE-CARROT, GEFILUS, CALCIUM, VITAMIN C AND D, PROBIOTICS","53.3","12.3","0.3","0.1"
"33885","QUARK, FLAVOURED, PROFEEL PROTEIN QUARK, LACTOSE-FREE","83.65","9.2","11","0.1"
"33886","OATMEAL SANDWICH COOKIE WITH CREME FILLING","507.89","54","5.9","29.3"
"33888","SANDWICH COOKIE, BALLERINA","452.2","64.5","4.9","19"
"33889","CHOCOLATE, MILK CHOCOLATE WITH HAZELNUTS","562.62","39.1","11","39.4"
"33890","CARROT PATTY, CONTAINS SOY PROTEIN, APETIT","195.27","12.1","4.8","13.7"
"33891","CHEESE, HALLOUMI CHEESE, FRIED","356.12","3.1","24.4","27.6"
"33893","TOFU, BREADED, FRIED IN OIL","187.86","5.2","10","13.8"
"33896","FRUIT PUREE, UNSWEETENED, 100 % FRUIT","58.08","11.6","0.9","0.2"
"33897","BERRY PUREE, UNSWEETENED, 100% FRUIT","52.34","7.8","0.8","0.7"
"33899","CORN STARCH, MAIZENA EXPRESS","374.52","86.3","1.4","2"
"33900","OAT DRINK WITHOUT MILK, OATLY CHOCOLATE, CALCIUM, VITAMIN D","59.27","10.1","0.9","1.5"
"33901","OAT DRINK WITHOUT MILK, OATLY, CALCIUM, VITAMINS","45.17","6","1.4","1.5"
"33903","(ARC)YOGHURT, FLAVOURED, KIDIUS GEFILUS, 2% FAT, LOW-LACTOSE, 1.5% VITAMIN D","88.19","13.4","2.7","2.5"
"33905","BERRY KISSEL, VALIO GEFILUS BLUEBERRY-RASPBERRY, VITAMINS, PROBIOTICS","47.32","10.7","0.2","0.2"
"33907","JUICE DRINK, WHEY DRINK, GEFILUS, VITAMINS, PROBIOTICS, LOW-LACTOSE","47.8","10.5","0.4","0.3"
"33908","JUICE DRINK, ORANGE-PEACH, GEFILUS, FIBRE, VITAMIN C AND D, PROBIOTICS","41.59","8.8","0.4","0.1"
"33909","JUICE DRINK, GEFILUS, VITAMIN C AND D, PROBIOTICS","45.17","9.8","0.5","0.2"
"33910","YOGHURT, DRINKABLE, ACTIMEL, 1.5% FAT, 0.75 UG VITAMIN D, PROBIOTICS","71.7","11.3","2.8","1.5"
"33911","YOGHURT, DRINKABLE,ACTIMEL, FAT-FREE, VIT. D, PROBIOTICS, ARTIFICIALLY SWEETENED","29.4","4.4","2.4","0.1"
"33912","(ARC)YOGHURT, DRINKABLE, ACTIMEL POWERFRUIT, 1.5% FAT, VITAMIN C+D, PROBIOTICS","74.33","12","2.8","1.5"
"33914","MILKSHAKE, HESBURGER, VANILLA","62.86","7.6","2.9","2.2"
"33915","MILKSHAKE, VANILLA, MCDONALD'S","79.83","11.8","2.9","2.2"
"33924","CREAM, VALIO STRAWBERRY/CHOCOLATE, LACTOSE-FREE","366.16","7.8","1.8","37"
"33925","QUORN, FILLET, PIECES, MINCE","111.14","5","13.7","3"
"33927","TURKEY COLD CUTS","93.69","1.6","17.5","1.8"
"33928","APPLESAUCE, SWEETENED","132.65","31.6","0.1","0.1"
"33933","BERRY KISSEL, INDUSTRIAL, PROVIVA, 35 MG VITAMIN C, PROBIOTICS","42.78","9.9","0.1","0.1"
"34079","PORRIDGE FLAKE MIX WITH FIBRE, NALLE","356.12","43.2","13.8","9.2"
"34080","PORRIDGE WITH FIBRE, WATER, SALT, NALLE","47.8","5.8","1.9","1.2"
"34110","CORN STARCH, MAIZENA BROWN/LIGHT","352.06","85.5","0.6","0.1"
"34127","MILK, 1.5% FAT, VALIO PLUS, 2 UG ADDED VITAMIN D","53.78","4.8","5","1.5"
"34136","SEAWEED, NORI, DRIED","278.44","0","40.7","3.2"
"34137","SEAWEED, WAKAME, DRIED","166.35","0","14.4","2"
"34140","COCONUT OIL","884.32","0","0","100"
"34159","ROCKET, ARUGULA","18.16","0.5","2.6","0.3"
"34180","CHICKEN DRUMSTICK WITH SKIN, RAW","118.07","0","19.2","4.6"
"34183","BEEF, ASSORTMENT E, MEAT FOR GRAVY","109.7","0","22.3","2.2"
"34184","RAPESEED PORK, PORK STRIPS","154.88","0","20.4","8.2"
"34185","PORK, CEREAL-FED, STRIPS","175.43","0","19.9","10.7"
"34187","BEEF TENDERLOIN","148.18","0","20.9","7.1"
"34188","PORK FILLET, SIRLOIN","148.42","0","21.5","6.9"
"34189","PORK, ASSORTMENT 0, PORK FOR SAUCE","141.97","0","20.7","6.5"
"34190","PORK, KASSLER STEAK, RAW","205.07","0","17.9","15"
"34201","BEEF, LEAN, AVERAGE","121.18","0","21.1","4"
"34208","CHICKEN DRUMSTICK WITH SKIN, GRILLED","167.07","0","27.1","6.4"
"34209","CHICKEN DRUMSTICK WITH SKIN, BAKED IN OVEN","167.07","0","27.1","6.4"
"34210","PORK FILLET, SIRLOIN, OVEN-BAKED","177.34","0","25.7","8.3"
"34211","PORK FILLET, TENDERLOIN, FRIED","167.54","0","25.7","7.1"
"34212","PORK FILLET, SIRLOIN, FRIED","196.22","0","26.3","10.1"
"34213","BEEF, LEAN, BOILED, WITHOUT ADDED SALT","173.04","0","30.2","5.7"
"34214","BEEF TENDERLOIN, OVEN-BAKED, ROASTED BEEF TENDERLOIN","209.61","0","29.6","10.1"
"34215","BEEF TENDERLOIN, FRIED","195.75","0","25.6","10.4"
"34216","BEEF TENDERLOIN, GRILLED","300.43","0.3","25.3","22.2"
"34219","BEEF, ASSORTMENT E, MEAT FOR GRAVY, WITHOUT ADDED SALT, BOILED","136.95","0","27.8","2.7"
"34220","RAPESEED PORK, STRIPS, FRIED IN OIL","304.25","0","25.5","22.7"
"34221","PORK, CEREAL-FED, STRIPS, FRIED IN OIL","329.83","0","24.8","25.9"
"34223","PORK, ASSORTMENT 0, PORK FOR SAUCE, BOILED WITHOUT SALT","202.68","0","29.6","9.3"
"34225","PORK, KASSLER STEAK, FRIED","275.57","0","22.8","20.7"
"34226","PORK, KASSLER STEAK, GRILLED","265.54","0","23.2","19.4"
"34228","SPINACH, FROZEN","13.38","0.4","1.6","0.3"
"34229","PEA, GREEN, FROZEN","73.14","9.4","5.1","0.9"
"34230","WILD ROCKET, SAND ROCKET","27.72","2","2.6","0.7"
"34231","GARDEN LETTUCE","11.47","1","0.9","0.1"
"34232","RADICCHIO","22.23","3.2","1.4","0.2"
"34233","ROMAINE LETTUCE","20.32","2.6","1.1","0.2"
"34234","ONION, RED ONION","33.7","5.4","1.5","0.1"
"34235","RADISH, WHITE","24.86","4.8","0.4","0"
"34236","PEA SHOOT","21.99","0.4","3.3","0.4"
"34237","CORN SALAD, LAMB'S LETTUCE","15.06","0.3","1.9","0.3"
"34238","CORIANDER, FRESH","20.79","0.5","2.4","0.4"
"34239","NORTHERN MILKCAP","16.01","0.6","1.5","0.5"
"34240","FUNNEL CHANTERELLE","24.14","0.4","2.2","0.8"
"34241","WOOLLY MILKCAP","15.77","0.6","1.5","0.5"
"34242","FLOUR, WHEAT FLOUR, SEMI-COARSE, V600","347.04","69.1","11.9","1.3"
"34243","BEAN, BROAD BEAN, FAVA BEAN, FRESH","102.53","13.1","8.8","0.6"
"34244","SUGAR SNAP PEAS, FRESH","41.83","6.1","2.8","0.1"
"34245","SESAME SEED, WHITE, WITHOUT HULL","654.88","1.2","24.6","59.7"
"34246","FLOUR, RYE, WHOLEGRAIN RYE FLOUR R800","323.37","57.1","9.4","2.6"
"34247","FLOUR, RYE, WHOLEGRAIN RYE FLOUR R1000","312.86","56.5","9","1.8"
"34248","FLOUR, BARLEY, WHOLE GRAIN BARLEY FLOUR","355.4","69.3","9.3","2.5"
"34249","FLOUR, COARSE WHEAT FLOUR","370.94","75.5","11.4","1.3"
"34252","POWAN, WHITEFISH, POLLAN, LAVARET, FARMED","132.41","0","19.8","5.9"
"34253","HERRING, PICKLED, CANNED","230.88","18","10.5","13"
"34254","SEAWEED, KOMBU, DRIED","188.1","20.1","7.1","1.3"
"34255","SALMON, FARMED","226.1","0","20","16.4"
"34256","RAINBOW TROUT, FARMED","170.89","0","19.7","10.3"
"34261","YOGHURT, FLAVOURED, 2.7% FAT","101.58","16.4","2.6","2.7"
"34262","HAM GRAVY, COOKING CREAM","138.38","2.1","9.5","9.7"
"34263","CAKE, MUD CAKE, CHOCOLATE CAKE","442.16","48.2","6.9","24.2"
"34265","BERRY AND FRUIT YOGHURT 2% FAT, LOW-LACTOSE, -30% SUGAR, VITD 1 UG","78.15","10","3.6","2"
"34276","JUICE DRINK, 40% LESS SUGAR, SWEETENED WITH STEVIA, VALIO GRANDI","24.62","5.9","0.1","0"
"34277","MUESLI WITH NUTS","516.25","29.1","15.2","34.6"
"34303","BEBE PASTRY","485.18","46.1","3.6","31.9"
"34304","MACARON PASTRY","255.98","37.6","5.6","8.6"
"34305","PASTRY WITH POTATO AND COCOA","332.93","44","4.7","15"
"34306","MILLE-FEUILLE, NAPOLEON PASTRY","388.15","33.3","3.6","26.5"
"34361","MANGO, WITHOUT SKIN","66.92","14.1","0.8","0.4"
"34362","AVOCADO SAUCE","213.67","0.7","4.2","20.9"
"34380","BEAN, WHITE BEAN, NAVY BEAN","287.52","37.3","22.1","1.9"
"34381","PIZZA, HAM PIZZA, SHRIMP, PINEAPPLE, BLUE CHEESE","194.31","16.4","11.7","8.7"
"34382","PIZZA, SALAMI PIZZA, HAM, MINCED MEAT AND ONION","224.9","16.3","12.8","11.8"
"34383","PIZZA, KEBAB PIZZA, ONION, FETA, SOUR CREAM AND TOMATO","214.15","16.4","11.5","11"
"34384","PIZZA, HAM AND TUNA PIZZA","194.55","16.6","13.6","7.8"
"34385","PIZZA, SALAMI PIZZA, HAM, SHRIMP AND ONION","219.17","15","13.4","11.5"
"34386","PIZZA, CHICKEN PIZZA, PINEAPPLE, BLUE CHEESE","196.46","17.1","11.8","8.6"
"34387","PIZZA, SEAFOOD PIZZA, TUNA, SHRIMP, MUSSEL","191.44","16.7","13.1","7.6"
"34388","PIZZA, SALAMI PIZZA, PINEAPPLE, SHRIMP, BLUE CHEESE","234.46","16.5","12.4","12.9"
"34389","PIZZA, HAM PIZZA, SHRIMP, MUSHROOM, TUNA FISH","183.08","16.7","11.7","7.3"
"34390","SANDWICH, BAGUETTE, CHICKEN, SUBWAY","186.9","24.5","13.5","3.4"
"34391","SANDWICH, BAGUETTE, VEGGIEBURGER, SUBWAY","182.36","29.2","5.4","4.2"
"34392","SANDWICH, BAGUETTE, SALAMI, HAM, ITALIAN BMT, SUBWAY","231.36","24.7","10.6","9.6"
"34393","SANDWICH, BAGUETTE, ROAST BEEF, SUBWAY","191.92","24.5","13.8","3.8"
"34394","SANDWICH, MULTIGRAIN BAGUETTE, TOMATO, SWEET PEPPER, CHEESE, LETTUCE, ONION","169.69","19.9","6.4","6.3"
"34395","HAMBURGER, DOUBLE CHEESE BURGER, MCDONALD'S","267.69","16.3","17.6","15.1"
"34396","HAMBURGER, DOUBLE BURGER, HESBURGER","259.8","17.3","11.8","16.5"
"34397","HAMBURGER, MCFEAST, MCDONALD'S","211.76","15.3","13.1","11.3"
"34398","HAMBURGER, WHOPPER, BURGER KING","217.97","16.1","12.4","12"
"34399","HAMBURGER, DOUBLE WHOPPER, BURGER KING","238.05","11.5","17","14.2"
"34402","HAMBURGER, BACONBURGER, HESBURGER","255.74","15.8","11.9","16.7"
"34403","HAMBURGER, GLUTEN-FREE HAMBURGER, HESBURGER","250.48","18.7","8.6","15.2"
"34404","TZATZIKI, FETA SAUCE, YOGHURT SAUCE","257.17","1.9","14.7","21.4"
"34405","HAMBURGER, SWEET POTATO BURGER, BEEF","178.54","8.8","9.5","11.4"
"34407","MEAT MINCE PATTY, OVEN-BAKED","239.48","6.5","18.6","15.4"
"34408","LEAN STEAK MINCE PATTY, FRIED","196.7","5.1","15.7","12.6"
"34409","LEAN STEAK MINCE PATTY, OVEN-BAKED","168.98","5.9","18.2","7.9"
"34410","PORK BEEF MINCE PATTY, OVEN-BAKED","244.74","5.9","15.7","17.7"
"34411","LEAN STEAK MINCE PATTY, FRIED WITHOUT FAT","155.83","5.5","16.8","7.3"
"34412","BEEF MINCE PATTY, FRIED WITHOUT FAT","212.72","5.8","16.5","13.7"
"34413","PORK BEEF MINCE PATTY, FRIED WITHOUT FAT","240.92","5.8","15.5","17.4"
"34414","HAMBURGER, SWEET POTATO BURGER, TOFU","160.13","8.7","7.9","10"
"34416","VEGETABLE GRAVY WITH SPINACH AND FARMER'S CHEESE, PALAK PANEER","113.77","4.1","6","7.9"
"34419","VEGETABLE GRAVY WITH TOMATO AND FARMER'S CHEESE, SHAHI PANEER","148.66","6.2","8.4","9.8"
"34422","BUTTER CHICKEN","161.33","3.5","10.9","11.2"
"34423","FISH GRAVY, FISH CURRY, SAITHE, RAINBOW TROUT, COCONUT MILK","104.45","2.7","7.6","6.7"
"34426","VEGETABLE GRAVY, VEGETABLE CURRY, COCONUT MILK, CHICK PEA","116.4","7","3","8"
"34428","CHICKEN VEGETABLE GRAVY, CHICKEN CURRY, COCONUT MILK","174.24","2.7","10.6","13.4"
"34429","PIZZA, BEEF MINCE PIZZA, GLUTEN-FREE","220.36","16.4","11.6","11.5"
"34430","PIZZA, CHICKEN AND AVOCADO PIZZA","194.79","15.9","10.1","9.4"
"34431","RAINBOW TROUT SOUP, COOKING CREAM","84.37","4.4","5","5"
"34432","RAINBOW TROUT SOUP, CREAM","104.92","4.4","4.9","7.5"
"34433","SALMON SOUP, CREAM","115.2","4.4","5.4","8.4"
"34434","SALMON SOUP, COOKING CREAM","94.89","4.4","5.4","6"
"34435","CAKE, MOCHA CAKE, GLUTEN-FREE","375","55.3","3.6","14.8"
"34436","VEGAN FRANKFURTER GRAVY","128.11","3.6","7.7","8.5"
"34437","VEGAN FRANKFURTER STROGANOFF","141.01","3.3","7.4","10.1"
"34438","VEGAN FRANKFURTER SOUP","60.71","4","3.6","2.9"
"34439","MEATBALL, MINCED ELK, OVEN-BAKED","164.67","7","19.1","6.3"
"34440","FISH SOUP, RAINBOW TROUT, SAITHE AND COOKING CREAM (VEG. FAT 15%)","72.18","4.2","4.9","3.9"
"34441","BALTIC HERRING FILLET WITH SOUR CREAM, OVEN-BAKED","255.26","2.1","15.3","20.7"
"34445","SWEET POTATO COCONUT SOUP","92.02","8.2","1.2","5.7"
"34446","CHICKEN GRAVY WITH LEMON AND TURKISH YOGHURT","232.31","7","10.7","18"
"34448","BEEF STEAK STEW, GOULASH","70.75","1.2","10.4","2.6"
"34450","VEGETARIAN MOUSSAKA, SOYA MINCE","86.04","8.1","4.3","3.5"
"34451","SOYA MINCE AND POTATO CASSEROLE, TOMATO, LOW-FAT MILK","111.14","9.6","7.5","4.1"
"34452","MOUSSAKA, VEGETARIAN MOUSSAKA, AUBERGINE, POTATO","97.99","7","3.1","6.1"
"34453","MILLET PATTY, FRIED","230.4","14.2","6","16.1"
"34454","BLUEBERRIES WITH TALKKUNA POWDER, CREAM AND QUARK","188.34","15.9","5.2","11"
"34455","BLACK SALSIFY SOUP, PUREED, CREAM","56.17","5.4","0.7","2.8"
"34456","QUORN BOLOGNESE","61.42","4.2","4.4","2.3"
"34457","SALMON SOUP, FISH STOCK","61.9","3.6","5.3","2.8"
"34458","BEETROOT, BAKED","126.67","8.6","1.5","9"
"34459","SWEDE, BAKED","116.16","6.3","1.2","9"
"34460","CARROT, BAKED","114.01","6","0.7","9.1"
"34461","ROOT VEGETABLES, BAKED, SALT AND OIL","79.59","9.3","1.1","3.3"
"34464","FETA VEGETABLE PATTY, FRIED","152.72","8","7.5","9.5"
"34465","BEETROOT PESTO SAUCE","250.48","6.1","4","23.2"
"34466","SWEET PEPPER, BAKED","108.27","4.8","1","9.1"
"34467","ROASTED SWEET PEPPER SOUP","80.31","4.3","1","6.1"
"34468","BEETROOT AND BLUE CHEESE CASSEROLE, COOKING CREAM","121.65","7.2","4.5","7.7"
"34469","BEETROOT AND GOAT CHEESE CASSEROLE, COOKING CREAM","182.36","8","7","13.1"
"34470","PASTA CARBONARA, BACON","212.72","11.1","10.4","14.1"
"34471","TURKEY CORDON BLEU, FRIED","215.34","6.8","24.2","10"
"34472","PORK, KASSLER STEAK, BOILED, WITHOUT SALT","105.4","0","9.2","7.7"
"34473","PULLED PORK","108.75","6.2","5.9","6.5"
"34474","HAMBURGER, PULLED PORK AND WHEAT ROLL WITH CRUSHED GRAIN","186.9","16.9","6.6","9.9"
"34475","SMOOTHIE, GREEN SMOOTHIE, SPINACH, AVOCADO, CUCUMBER, BANANA, PINEAPPLE","81.02","4.6","2.2","5.4"
"34476","FISH VEGETABLE CASSEROLE, SAITHE, ROOT VEGETABLES, TOMATO","57.84","3.6","6.5","1.4"
"34477","FISH SHRIMP CASSEROLE, SAITHE, VEGETABLES, TOMATO","78.63","2.3","7.6","3.9"
"34478","SAITHE, OVEN-BAKED","93.21","0","20.4","1.2"
"34480","FISH, WEIGHTED AVERAGE, BAKED","167.3","0","21.8","8.9"
"34481","FISH PASTY, SMOKED SALMON PASTY","291.35","20.6","7.2","20"
"34484","SALMON FILLET, PESTO SALMON, OVEN-BAKED","234.46","0.2","19.7","17.2"
"34485","TARTAR SAUCE, SALMON TARTAR, SOUR CREAM","185.71","1.3","12.1","14.4"
"34488","BEEF STEAK MINCE SOUP, LENTILS","98.95","7.6","9.1","3.3"
"34489","COLD TOMATO SOUP, GAZPACHO","92.26","3.7","0.7","7.9"
"34490","PUMPKIN SOUP, COOKING CREAM","39.67","2.1","1","2.6"
"34491","BANANA EGG PANCAKE","213.43","9.3","6.6","16.6"
"34492","SPINACH, FRIED","148.42","1.8","2","14.2"
"34493","NOODLE SALAD WITH BEEF STEAK MINCE","132.17","11.2","10.1","4.9"
"34494","OAT PORRIDGE, OAT FLAKES, WATER, COCONUT MILK, EGG, BANANA, SALT","64.77","6.7","2.2","3"
"34495","NOODLE SOUP WITH TOFU AND COCONUT MILK","113.53","7.5","3.2","7.6"
"34496","PUR�ED POTATO BROCCOLI SOUP, WATER, PROCESSED CHEESE","65.25","7.7","3.1","2"
"34497","PARSNIP APPLE SOUP, PUREED, COOKING CREAM (VEG. FAT)","83.41","5","0.8","6.2"
"34498","NOODLE SALAD WITH SHRIMPS, KALE, PEANUT SAUCE","72.42","8.4","3.5","2.3"
"34499","HALLOUMI CHEESE SALAD, POMEGRANATE, OIL-BASED DRESSING","180.69","3.5","7.5","15"
"34500","HALLOUMI CHEESE SALAD, STRAWBERRY, OIL-BASED DRESSING","163.72","6","6.5","12.2"
"34501","COUSCOUS SALAD WITH HALLOUMI CHEESE, OIL-BASED DRESSING","186.42","11.9","8.9","11.1"
"34502","AVOCADO PASTA","163.96","11.1","4.7","10.8"
"34503","TOFU VEGETABLE WOK, WOK-VEGETABLES","115.2","10.1","3.5","6.2"
"34504","TOFU NOODLE WOK","98.71","10.3","3","4.6"
"34505","CRISPBREAD, SEED CRISPBREAD, GLUTEN-FREE, HOME-MADE","366.63","16","13.3","26.8"
"34506","CRISPBREAD, SEED CRISPBREAD, HOME-MADE","261.23","14.6","8.8","17.5"
"34507","CRISPBREAD, SEED CRISPBREAD WITH EGG, GLUTEN-FREE, HOME-MADE","423.28","11.3","19.2","32.4"
"34508","RAW PORRIDGE, YOGHURT","119.26","8.2","5.6","6.8"
"34509","CAKE, MUD CAKE, BUTTER, WITHOUT FLOUR, NATURALLY GLUTEN-FREE","450.29","33.8","7.1","31"
"34510","SALAD, AVOCADO POTATO SALAD, OLIVE OIL","132.89","10.6","2","8.6"
"34511","AUBERGINE CHICK PEA SALAD, YOGHURT DRESSING","102.29","5.5","2.1","7.5"
"34512","RISOTTO, ASPARAGUS RISOTTO, WHITE WINE","81.74","9.8","2.4","2.6"
"34513","RISOTTO, PORCINI RISOTTO, WHITE WINE","151.05","12.5","2.9","8.6"
"34514","KALE, FRIED","156.79","2.7","2.3","13.9"
"34515","KALE AND FETA CHEESE SALAD","121.65","2.6","4.3","9.7"
"34516","RED ONION, FRIED","125.72","6.1","1.7","10.1"
"34517","REINDEER AND CHANTERELLE PIE, SHORTCRUST PASTRY","246.89","14.7","6.5","17.6"
"34518","LEEK, FRIED","104.21","2.7","2","9.1"
"34519","TARTAR SAUCE, COLD SMOKED REINDEER","169.69","2.5","8.3","13.8"
"34520","TARTAR SAUCE, SHRIMP TARTAR, CR�ME FRA�CHE","139.82","1.8","7.7","10.9"
"34521","COLD TUNA SAUCE, SOUR CREAM","120.7","4.2","9.1","7.2"
"34522","LASAGNE, REINDEER","143.16","10.1","9.2","7"
"34523","PINEAPPLE SALSA","49.95","9.7","0.7","0.4"
"34524","AVOCADO QUESADILLA","186.9","18.3","6.1","9.2"
"34525","CHOCOLATE SWISS ROLL","382.89","40.8","6.3","21.4"
"34526","FLORENCE FENNEL, FRIED","101.34","2.1","1.1","9.4"
"34527","FLORENCE FENNEL SOUP, PUR�ED","45.65","1.7","1","3.5"
"34528","CAKE, RAW CHOCOLATE CAKE","463.91","21.4","6.5","38.5"
"34529","CAKE, RAW RASPBERRY CAKE","405.59","19.2","6.3","33.1"
"34530","CAKE, RAW BLACKCURRANT CAKE","337.24","18","4.6","26.5"
"34531","CAKE, RAW MANGO CAKE","373.57","21.7","8","27.7"
"34532","CAKE, RAW CARROT CAKE","263.62","18.8","7.1","16.8"
"34533","MUESLI, GRANOLA, HOME-MADE","483.51","35.5","12.7","30.5"
"34534","MUSHROOM PIE, FUNNEL CHANTERELLE, SHORTCRUST PASTRY","237.81","13.5","7","16.8"
"34535","CHANTERELLE, KOKT","35.37","2.1","2.6","0.9"
"34536","FUNNEL CHANTERELLE, FRIED","88.67","0.5","2.7","7.7"
"34537","FUNNEL CHANTERELLE, BOILED","31.79","0.6","2.9","1.1"
"34539","RISOTTO, BEETROOT RISOTTO, CHEVRE, WHITE WINE","152.49","19","4.1","6.3"
"34540","FETA CHEESE SPINACH GRAVY, COOKING CREAM","161.09","2.2","5.8","13.8"
"34541","LASAGNE, MUSHROOM FETA CHEESE LASAGNE","137.91","13.4","6.4","5.8"
"34542","LASAGNE, BEEF STEAK MINCE, WHOLE WHEAT PASTA","152.49","13.2","9","6.7"
"34543","LASAGNE, BEEF STEAK MINCE, GLUTEN-FREE","152.25","14.3","8.3","6.6"
"34544","TOMATO AND MOZZARELLA PIE, SHORTCRUST PASTRY, MASHED POTATO POWDER","271.03","15.2","7.4","19.5"
"34545","SMOOTHIE, GREEN SMOOTHIE, KALE, APPLE, CUCUMBER, BANANA","28.2","5.1","0.6","0.2"
"34546","SMOOTHIE, BLUEBERRY AND COCONUT MILK","133.13","10.9","4.7","7.4"
"34547","SMOOTHIE, MANGO SMOOTHIE, YOGHURT, PINEAPPLE JUICE","75.29","14","1.6","1.1"
"34548","SMOOTHIE, MANGO, PINEAPPLE AND COCONUT MILK","112.33","9.9","1.2","7.2"
"34549","SMOOTHIE, BERRY SMOOTHIE, YOGHURT, OAT BRAN AND SUNFLOWER SEED","104.68","8.1","4.5","5.1"
"34550","SMOOTHIE, GREEN SMOOTHIE, APPLE, CELERY, CUCUMBER","20.79","4","0.3","0.1"
"34551","SMOOTHIE, CARROT, ORANGE AND STRAWBERRY SMOOTHIE","30.11","5.3","0.4","0.2"
"34552","QUINOA RISOTTO, MUSHROOM RISOTTO, WHITE WINE","163.96","14.3","6","8.1"
"34553","QUINOA RISOTTO, QUINOA TOMATO RISOTTO","165.63","14.7","5.6","8.7"
"34554","PARFAIT, STRAWBERRY ICE CREAM, HOME-MADE","93.21","13.1","1.5","3.3"
"34555","THIN PANCAKE, SOYA DRINK, RICE FLOUR, GLUTEN-FREE, DAIRY-FREE, EGG-FREE","136.47","20.4","3.4","4.3"
"34556","CHOCOLATE MILK, COLD, OAT DRINK","50.43","9","1.1","0.8"
"34557","BOLOGNESE, MINCED ELK","90.58","2.3","12.5","3.1"
"34558","PIZZA, HAM AND CHEESE PIZZA, PIZZA BIANCA, WITHOUT TOMATO","315.73","16.4","16.7","19.7"
"34559","PIZZA, TOMATO AND MOZZARELLA PIZZA, CAULIFLOWER CRUST","106.6","2.4","6.5","7.4"
"34560","PIZZA, VEGETARIAN PIZZA, PIZZA BIANCA, WITHOUT TOMATO","127.87","13.5","3.6","5.7"
"34561","BEAN QUINOA PATTY, FRIED","225.86","15.6","8.8","13.1"
"34562","KALE CHIPS","165.87","1.8","2.8","15.1"
